stem,group,num_speculative_tokens,output_throughput,total_token_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,acceptance_rate,acceptance_length,drafts,draft_tokens,accepted_tokens,completed,failed
baseline_bf16,baseline_bf16,,838.4434155634837,1087.2744253190917,659.9815819625292,5993.710134640569,6.986003460293681,,,,,,80,0
fp8,fp8,,1069.6563932780869,1387.106176400363,593.0301558624706,6054.033306290512,5.178476807598189,,,,,,80,0
fp8_spec_n1,fp8_spec,1,1032.1340278459393,1339.1375817877824,746.7871409123063,7344.813219280368,4.402295736632136,35.51047555703359,1.355104755570336,15035,15035,5339,80,0
fp8_spec_n2,fp8_spec,2,1628.4215663727798,2111.7001933461074,60.09106956225878,429.5622085599279,4.481253738382364,22.66614486978796,1.4533228973957593,14054,28108,6371,80,0
fp8_spec_n3,fp8_spec,3,1569.8637882127434,2035.7637933278338,54.43271577489668,349.6224682997308,4.6426084092154625,15.426090275789676,1.4627827082736902,13972,41916,6466,80,0
fp8_spec_n4,fp8_spec,4,1562.2938450821741,2026.9000683138725,63.47069128746625,449.00878722975904,4.647656084099688,15.262279446828803,1.457868383404864,13980,41940,6401,80,0
spec_bf16_n1,spec_bf16,1,1201.126200193509,1558.4481641099178,126.0375301875456,1036.2382522996268,5.842312372919076,37.026572485704676,1.3702657248570467,14865,14865,5504,80,0
spec_bf16_n2,spec_bf16,2,834.0379764993284,1081.7914011199684,815.2214616249466,7962.389606039542,5.861509419211134,21.612993755700554,1.4322598751140112,14253,28506,6161,80,0
spec_bf16_n3,spec_bf16,3,1183.2021584984204,1534.3497522168482,138.1740817875425,1155.9365077294751,5.971560239902151,15.315379669976426,1.4594613900992928,13999,41997,6432,80,0
spec_bf16_n4,spec_bf16,4,1170.5394560031032,1517.9290465102742,77.11518535018058,533.006126560158,6.264474347940985,11.571786609380593,1.4628714643752239,13965,55860,6464,80,0
